[2016-06-29 02:16:00,934][INFO ][node                     ] [Ancient One] version[5.0.0-alpha3], pid[3889], build[cad959b/2016-05-26T08:25:57.564Z], OS[Linux/3.19.0-25-generic/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_91/25.91-b14]
[2016-06-29 02:16:01,039][INFO ][node                     ] [Ancient One] initializing ...
[2016-06-29 02:16:15,013][INFO ][plugins                  ] [Ancient One] modules [percolator, lang-mustache, lang-painless, ingest-grok, reindex, lang-expression, lang-groovy], plugins []
[2016-06-29 02:16:18,551][INFO ][env                      ] [Ancient One] using [1] data paths, mounts [[/ (/dev/sda1)]], net usable_space [21.8gb], net total_space [28.4gb], spins? [possibly], types [ext4]
[2016-06-29 02:16:18,552][INFO ][env                      ] [Ancient One] heap size [1.9gb], compressed ordinary object pointers [true]
[2016-06-29 02:16:43,753][INFO ][node                     ] [Ancient One] initialized
[2016-06-29 02:16:43,764][INFO ][node                     ] [Ancient One] starting ...
[2016-06-29 02:16:45,116][INFO ][transport                ] [Ancient One] publish_address {127.0.0.1:9300}, bound_addresses {[::1]:9300}, {127.0.0.1:9300}
[2016-06-29 02:16:45,190][WARN ][bootstrap                ] [Ancient One] initial heap size [268435456] not equal to maximum heap size [2147483648]; this can cause resize pauses and prevents mlockall from locking the entire heap
[2016-06-29 02:16:45,192][WARN ][bootstrap                ] [Ancient One] max file descriptors [4096] for elasticsearch process likely too low, increase to at least [65536]
[2016-06-29 02:16:45,210][WARN ][bootstrap                ] [Ancient One] please set [discovery.zen.minimum_master_nodes] to a majority of the number of master eligible nodes in your cluster
[2016-06-29 02:16:45,213][WARN ][bootstrap                ] [Ancient One] max virtual memory areas vm.max_map_count [65530] likely too low, increase to at least [262144]
[2016-06-29 02:16:48,725][INFO ][cluster.service          ] [Ancient One] new_master {Ancient One}{nLNff6UNR6C6Ixqj14WqDg}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2016-06-29 02:16:49,521][INFO ][http                     ] [Ancient One] publish_address {127.0.0.1:9200}, bound_addresses {[::1]:9200}, {127.0.0.1:9200}
[2016-06-29 02:16:49,526][INFO ][node                     ] [Ancient One] started
[2016-06-29 02:16:50,858][INFO ][monitor.jvm              ] [Ancient One] [gc][7] overhead, spent [290ms] collecting in the last [1s]
[2016-06-29 02:16:51,232][INFO ][gateway                  ] [Ancient One] recovered [1] indices into cluster_state
[2016-06-29 02:16:53,945][INFO ][cluster.routing.allocation] [Ancient One] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[tweets][4]] ...]).
[2016-06-29 02:21:17,019][INFO ][node                     ] [Ancient One] stopping ...
[2016-06-29 02:21:18,122][INFO ][node                     ] [Ancient One] stopped
[2016-06-29 02:21:18,123][INFO ][node                     ] [Ancient One] closing ...
[2016-06-29 02:21:18,341][INFO ][node                     ] [Ancient One] closed
[2016-06-29 02:23:08,261][INFO ][node                     ] [Namor the Sub-Mariner] version[5.0.0-alpha3], pid[4057], build[cad959b/2016-05-26T08:25:57.564Z], OS[Linux/3.19.0-25-generic/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_91/25.91-b14]
[2016-06-29 02:23:08,269][INFO ][node                     ] [Namor the Sub-Mariner] initializing ...
[2016-06-29 02:23:14,260][INFO ][plugins                  ] [Namor the Sub-Mariner] modules [percolator, lang-mustache, lang-painless, ingest-grok, reindex, lang-expression, lang-groovy], plugins []
[2016-06-29 02:23:14,711][INFO ][env                      ] [Namor the Sub-Mariner] using [1] data paths, mounts [[/ (/dev/sda1)]], net usable_space [21.8gb], net total_space [28.4gb], spins? [possibly], types [ext4]
[2016-06-29 02:23:14,719][INFO ][env                      ] [Namor the Sub-Mariner] heap size [1.9gb], compressed ordinary object pointers [true]
[2016-06-29 02:23:49,496][INFO ][node                     ] [Namor the Sub-Mariner] initialized
[2016-06-29 02:23:49,497][INFO ][node                     ] [Namor the Sub-Mariner] starting ...
[2016-06-29 02:23:51,696][INFO ][transport                ] [Namor the Sub-Mariner] publish_address {127.0.0.1:9300}, bound_addresses {[::1]:9300}, {127.0.0.1:9300}
[2016-06-29 02:23:51,823][WARN ][bootstrap                ] [Namor the Sub-Mariner] initial heap size [268435456] not equal to maximum heap size [2147483648]; this can cause resize pauses and prevents mlockall from locking the entire heap
[2016-06-29 02:23:51,824][WARN ][bootstrap                ] [Namor the Sub-Mariner] max file descriptors [4096] for elasticsearch process likely too low, increase to at least [65536]
[2016-06-29 02:23:51,825][WARN ][bootstrap                ] [Namor the Sub-Mariner] please set [discovery.zen.minimum_master_nodes] to a majority of the number of master eligible nodes in your cluster
[2016-06-29 02:23:51,825][WARN ][bootstrap                ] [Namor the Sub-Mariner] max virtual memory areas vm.max_map_count [65530] likely too low, increase to at least [262144]
[2016-06-29 02:23:55,451][INFO ][cluster.service          ] [Namor the Sub-Mariner] new_master {Namor the Sub-Mariner}{WNRHS2C2StWzmo81NL6MpA}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2016-06-29 02:23:55,624][INFO ][http                     ] [Namor the Sub-Mariner] publish_address {127.0.0.1:9200}, bound_addresses {[::1]:9200}, {127.0.0.1:9200}
[2016-06-29 02:23:55,627][INFO ][node                     ] [Namor the Sub-Mariner] started
[2016-06-29 02:23:59,955][INFO ][gateway                  ] [Namor the Sub-Mariner] recovered [1] indices into cluster_state
[2016-06-29 02:24:02,884][INFO ][cluster.routing.allocation] [Namor the Sub-Mariner] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[tweets][0]] ...]).
[2016-06-29 02:26:42,998][INFO ][cluster.metadata         ] [Namor the Sub-Mariner] [events] creating index, cause [auto(index api)], templates [], shards [5]/[1], mappings [event]
[2016-06-29 02:26:44,316][INFO ][cluster.routing.allocation] [Namor the Sub-Mariner] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[events][4]] ...]).
[2016-06-29 02:26:44,806][INFO ][cluster.metadata         ] [Namor the Sub-Mariner] [events/4GGi0MrpSeGuR51Ufg42uA] update_mapping [event]
[2016-06-29 02:56:30,923][WARN ][monitor.jvm              ] [Namor the Sub-Mariner] [gc][young][1955][7] duration [1.8s], collections [1]/[2.9s], total [1.8s]/[2.6s], memory [91mb]->[29.9mb]/[1.9gb], all_pools {[young] [66.5mb]->[492.2kb]/[66.5mb]}{[survivor] [7.1mb]->[8.3mb]/[8.3mb]}{[old] [17.2mb]->[21.1mb]/[1.9gb]}
[2016-06-29 02:56:30,962][WARN ][monitor.jvm              ] [Namor the Sub-Mariner] [gc][1955] overhead, spent [1.8s] collecting in the last [2.9s]
